Marca,Submarca,Versión,Modelo,Trans.,Comb.,Cilindros,Potencia (HP),Tamaño (L),Categoría,R. Ciudad (km/l),R. Carr. (km/l),R. Comb. (km/l),R. Ajust. (km/l),CO2(g/km),NOx (g/1000km),Calificación Gas Ef. Inv.,Calificación Contam. Aire
HONDA,FIT,FUN 5PTS 1.5L 4CIL 130HP MAN,2016,MAN,Gasolina,4,130.0,1.5,AUTOS COMPACTOS,12.8,19.5,16.53,12.4,188.0,2.0,7,9
HONDA,CIVIC,SEDAN EX-T 5PTS 1.5L 4CIL 174HP CVT TURBO,2016,CVT,Gasolina,4,174.0,1.5,AUTOS COMPACTOS,12.8,21.9,17.13,12.85,181.0,10.0,8,9
HONDA,CIVIC,SEDAN EX-TL 5PTS 1.5L 4CIL 174HP CVT TURBO,2016,CVT,Gasolina,4,174.0,1.5,AUTOS COMPACTOS,12.8,21.9,17.13,12.85,181.0,10.0,8,9
HONDA,CIVIC,COUPE EX-T 2PTS 1.5L 4CIL 174HP CVT TURBO,2016,CVT,Gasolina,4,174.0,1.5,AUTOS COMPACTOS,12.8,21.9,17.13,12.85,181.0,10.0,8,9
HONDA,CIVIC,EX COUPE 2PTAS 1.5L 4CIL 174HP TURBO CVT,2017,,Gasolina,4,174.0,1.5,AUTOS COMPACTOS,12.8,21.9,17.13,12.85,181.0,10.0,8,9
HONDA,CIVIC,SEDAN 4PTAS 1.5L 4CIL 174HP CVT,2017,,Gasolina,4,174.0,1.5,AUTOS COMPACTOS,12.8,21.9,17.13,12.85,181.0,10.0,8,9
HONDA,CIVIC,SEDAN 4PTAS 1.5L 4CIL 174HP CVT,2017,,Gasolina,4,174.0,1.5,AUTOS COMPACTOS,12.8,21.9,17.13,12.85,181.0,10.0,8,9
HONDA,FIT,COOL 5PTAS 1.5L 4CIL 130HP MAN,2017,MAN,Gasolina,4,130.0,1.5,AUTOS COMPACTOS,12.8,19.5,16.53,12.4,188.0,2.0,7,9
HONDA,FIT,FUN 5PTAS 1.5L 4CIL 130HP MAN,2017,MAN,Gasolina,4,130.0,1.5,AUTOS COMPACTOS,12.8,19.5,16.53,12.4,188.0,2.0,7,9
PEUGEOT,GRAND RAID,MAYA 5PTS 1.6L 4CIL 110HP MAN,2012,MAN,Gasolina,4,110.0,1.6,AUTOS COMPACTOS,12.74,16.12,15.46,11.6,201.0,36.0,7,6
PEUGEOT,GRAND RAID,ORIGIN 5PTS 1.6L 4CIL 110HP MAN,2012,MAN,Gasolina,4,110.0,1.6,AUTOS COMPACTOS,12.74,16.12,15.46,11.6,201.0,36.0,7,6
MITSUBISHI,LANCER,GTS 4PTAS 2.0L 4CIL 168HP CVT,2016,CVT,Gasolina,4,168.0,2.4,AUTOS COMPACTOS,12.73,19.91,15.2,11.4,205.0,15.0,7,8
NISSAN,TIIDA,HATCHBACK 5PTS 1.8L 4CIL 125HP AUT,2011,AUT,Gasolina,4,125.0,1.8,AUTOS COMPACTOS,12.7,19.0,14.93,11.2,208.0,21.0,7,7
NISSAN,TIIDA,SEDAN 4PTS 1.8L 4CIL 125HP AUT,2011,AUT,Gasolina,4,125.0,1.8,AUTOS COMPACTOS,12.7,19.0,14.93,11.2,208.0,25.0,7,6
NISSAN,TIIDA,HATCHBACK 5PTS 1.8L 4CIL 125HP AUT,2012,AUT,Gasolina,4,125.0,1.8,AUTOS COMPACTOS,12.7,19.0,14.93,11.2,208.0,126.0,7,2
NISSAN,TIIDA,SEDAN 4PTS 1.8L 4CIL 125HP AUT,2012,AUT,Gasolina,4,125.0,1.8,AUTOS COMPACTOS,12.7,19.0,14.93,11.2,208.0,126.0,7,2
NISSAN,TIIDA,HATCHBACK 5PTS 1.8L 4CIL 125HP AUT,2013,AUT,Gasolina,4,125.0,1.8,AUTOS COMPACTOS,12.7,19.0,14.93,11.2,208.0,126.0,7,2
NISSAN,TIIDA,SEDAN 4PTS 1.8L 4CIL 125HP AUT,2013,AUT,Gasolina,4,125.0,1.8,AUTOS COMPACTOS,12.7,19.0,14.93,11.2,208.0,126.0,7,2
NISSAN,TIIDA,SEDAN 4PTS 1.8L 4CIL 125HP AUT,2014,AUT,Gasolina,4,125.0,1.8,AUTOS COMPACTOS,12.7,19.0,14.93,11.2,208.0,126.0,7,2
NISSAN,TIIDA,SEDAN 4PTS 1.8L 4CIL 125HP AUT,2015,AUT,Gasolina,4,125.0,1.8,AUTOS COMPACTOS,12.7,19.0,14.93,11.2,208.0,126.0,7,2
DODGE,DART,4PTS 2.0L 4CIL 160HP MAN,2013,MAN,Gasolina,4,160.0,2.0,AUTOS COMPACTOS,12.64,19.94,15.13,11.35,205.0,7.0,7,9
VW,BEETLE,2PTAS 2.0L 4CIL 210HP DSG TURBO,2016,DSG,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,12.6,19.6,15.01,11.26,207.0,13.0,7,8
VW,JETTA,4PTAS 2.0L 4CIL 210HP DSG TURBO FSI,2016,DSG,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,12.6,20.1,15.14,11.36,205.0,3.0,7,9
VW,JETTA,MKVI 4PTAS 2.0L 4CIL 115HP AUT,2016,TIPT,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,12.6,21.7,15.53,11.65,200.0,5.0,7,9
VW,BEETLE,2PTAS 2.0L 4CIL 210HP DSG TURBO,2017,DSG,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,12.6,19.6,15.01,11.26,207.0,13.0,7,8
VW,JETTA,4PTAS 2.0L 4CIL 210HP DSG TURBO FSI,2017,DSG,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,12.6,20.1,15.14,11.36,205.0,3.0,7,9
VW,JETTA,MKVI 4PTAS 2.0L 4CIL 115HP AUT,2017,TIPT,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,12.6,21.7,15.53,11.65,200.0,5.0,7,9
FORD,FOCUS,ST 4PTS 2.0L 4CIL 252HP MAN TURBO,2015,MAN,Gasolina,4,252.0,2.0,AUTOS COMPACTOS,12.54,19.21,16.25,12.19,191.0,10.0,7,9
MERCEDES,B180,CGI 5PTS 1.6L 4CIL 122HP AUT (G TRONIC) TURBO,2012,AUT,Gasolina,4,122.0,1.6,AUTOS COMPACTOS,12.5,21.28,16.74,12.56,186.0,12.0,7,9
MERCEDES,A 250,5PTAS 2.0L 4CIL 218HP TURBO AUT,2018,AUT,Gasolina,4,218.0,1.991,AUTOS COMPACTOS,12.5,20.0,16.43,12.32,189.0,29.0,7,6
MERCEDES,A 250,5PTAS 2.0L 4CIL 218HP AUT TURBO,2016,AUT,Gasolina,4,218.0,1.991,AUTOS COMPACTOS,12.5,20.0,16.43,12.32,189.0,29.0,7,6
CHEVROLET,CRUZE,4PTS 1.8L 4CIL 138HP MAN,2011,M5,Gasolina,4,138.0,1.8,AUTOS COMPACTOS,12.48,17.76,14.41,10.81,216.0,69.0,6,4
CHEVROLET,CRUZE,4PTS 1.8L 4CIL 138HP MAN,2012,MAN,Gasolina,4,138.0,1.8,AUTOS COMPACTOS,12.48,17.76,14.41,10.81,216.0,69.0,6,4
CHEVROLET,CRUZE,4PTS 1.8L 4CIL 138HP MAN,2013,MAN,Gasolina,4,138.0,1.8,AUTOS COMPACTOS,12.48,17.76,14.41,10.81,216.0,69.0,6,4
VW,BEETLE,2PTS 2.0L 4CIL 210HP MAN TURBO,2014,MAN,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,12.46,20.25,15.07,11.3,206.0,6.0,7,9
HONDA,CIVIC,SEDAN LX 5PTS 2.0L 4CIL 158HP CVT,2016,CVT,Gasolina,4,158.0,2.0,AUTOS COMPACTOS,12.4,21.2,16.64,12.48,187.0,2.0,7,9
VW,JETTA,MKVI 4PTAS 2.0L 4CIL 115HP MAN,2016,MAN,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,12.4,21.5,15.32,11.49,203.0,4.0,7,9
VW,JETTA,MKVI 4PTAS 2.0L 4CIL 115HP MAN,2017,MAN,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,12.4,21.5,15.32,11.49,203.0,4.0,7,9
HONDA,CIVIC,EX SEDAN 4PTAS 2.0L 4CIL 158HP CVT,2017,,Gasolina,4,158.0,2.0,AUTOS COMPACTOS,12.4,21.2,16.64,12.48,187.0,2.0,7,9
SUZUKI,SX4,SEDAN 4PTS 2.0L 4CIL 150HP MAN,2011,MAN,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,SEDAN 4PTS 2.0L 4CIL 150HP CVT,2011,CVT,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,X-OVER 5PTS 2.0L 4CIL 150HP MAN,2011,MAN,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,X-OVER 5PTS 2.0L 4CIL 150HP CVT,2011,CVT,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,SEDAN 4PTS 2.0L 4CIL 150HP MAN,2012,MAN,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,SEDAN 4PTS 2.0L 4CIL 150HP CVT,2012,CVT,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,X-OVER 5PTS 2.0L 4CIL 150HP MAN,2012,MAN,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,X-OVER 5PTS 2.0L 4CIL 150HP CVT,2012,CVT,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,SEDAN 4PTS 2.0L 4CIL 150HP MAN,2013,MAN,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,SEDAN 4PTS 2.0L 4CIL 150HP CVT,2013,CVT,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,X-OVER 5PTS 2.0L 4CIL 150HP MAN,2013,MAN,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,X-OVER 5PTS 2.0L 4CIL 150HP CVT,2013,CVT,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,SEDAN 4PTS 2.0L 4CIL 150HP MAN,2014,MAN,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,SEDAN 4PTS 2.0L 4CIL 150HP CVT,2014,CVT,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,X-OVER 5PTS 2.0L 4CIL 150HP MAN,2014,MAN,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
SUZUKI,SX4,X-OVER 5PTS 2.0L 4CIL 150HP CVT,2014,CVT,Gasolina,4,150.0,2.0,AUTOS COMPACTOS,12.37,17.13,14.14,10.6,220.0,8.0,6,9
FORD,FUSION,4PTS 2.5L 4CIL 170HP AUT,2014,AUT,Gasolina,4,170.0,2.5,AUTOS COMPACTOS,12.32,19.72,16.22,12.16,192.0,39.0,7,6
FORD,FUSION,4PTS 2.5L 4CIL 168HP AUT (6F35),2015,AUT,Gasolina,4,168.0,2.5,AUTOS COMPACTOS,12.32,19.72,16.22,12.16,192.0,11.0,7,9
FORD,FUSION,4PTS 2.5L 4CIL 175HP AUT (6F35),2016,AUT,Gasolina,4,175.0,2.5,AUTOS COMPACTOS,12.32,19.72,16.22,12.16,192.0,18.0,7,8
HONDA,CIVIC,SEDAN 4PTAS 1.5L 4CIL 174HP MAN,2017,MAN,Gasolina,4,174.0,1.5,AUTOS COMPACTOS,12.3,20.7,16.44,12.33,189.0,1.0,7,9
VW,BEETLE,2PTS 2.0L 4CIL 200HP DSG TURBO,2012,DSG,Gasolina,4,200.0,2.0,AUTOS COMPACTOS,12.25,19.14,14.62,10.96,213.0,11.0,6,9
VW,BEETLE,2PTS 2.0L 4CIL 200HP MAN TURBO,2013,MAN,Gasolina,4,200.0,2.0,AUTOS COMPACTOS,12.23,21.17,15.1,11.32,206.0,11.0,7,9
VW,JETTA,MKVI 4PTS 2.0L 4CIL 200HP TFSI MAN,2011,M6,Gasolina,4,200.0,2.0,AUTOS COMPACTOS,12.2,22.05,15.27,11.45,204.0,10.0,7,9
VW,JETTA,MKVI GLI 4PTS 2.0L 4CIL 200HP MAN TFSI TURBO,2012,MAN,Gasolina,4,200.0,2.0,AUTOS COMPACTOS,12.2,22.05,15.27,11.45,204.0,10.0,7,9
VW,JETTA,MKVI GLI 4PTS 2.0L 4CIL 200HP MAN TFSI TURBO,2013,MAN,Gasolina,4,200.0,2.0,AUTOS COMPACTOS,12.2,22.05,15.27,11.45,204.0,10.0,7,9
VW,JETTA,MKVI GLI 4PTS 2.0L 4CIL 210HP MAN TFSI TURBO,2014,MAN,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,12.2,22.22,15.31,11.48,203.0,15.0,7,8
VW,JETTA,MKVI 4PTS 2.0L 4CIL 115HP MAN,2015,MAN,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,12.2,21.0,15.04,11.28,207.0,10.0,7,9
VW,JETTA,MKVI GLI 4PTAS 2.0L 4CIL 210HP MAN TURBO FSI,2016,MAN,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,12.2,21.7,15.19,11.39,205.0,14.0,7,8
VW,JETTA,MKVI GLI 4PTAS 2.0L 4CIL 210HP MAN TURBO FSI,2017,MAN,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,12.2,21.7,15.19,11.39,205.0,14.0,7,8
MITSUBISHI,LANCER,4PTS 2.0L 4CIL 152HP AUT,2011,AUT,Gasolina,4,152.0,2.0,AUTOS COMPACTOS,12.16,15.66,13.52,10.14,230.0,9.0,6,9
MITSUBISHI,LANCER,4PTS 2.0L 4CIL 152HP CVT,2012,CVT,Gasolina,4,152.0,2.0,AUTOS COMPACTOS,12.16,15.66,13.52,10.14,230.0,9.0,6,9
MITSUBISHI,LANCER,4PTS 2.0L 4CIL 152HP CVT,2013,CVT,Gasolina,4,152.0,2.0,AUTOS COMPACTOS,12.16,15.66,13.52,10.14,230.0,9.0,6,9
FORD,FUSION,4X2 4PTAS 2.5L 4CIL 175HP AUT,2017,AUT,Gasolina,4,175.0,2.5,AUTOS COMPACTOS,12.11,20.42,14.83,11.12,210.0,18.0,7,8
FORD,FUSION,4PTAS 2.5L 4CIL 175HP AUT,2018,AUT,Gasolina,4,175.0,2.5,AUTOS COMPACTOS,12.11,20.42,14.83,11.12,210.0,18.0,7,8
VW,JETTA,MKVI 4PTS 2.0L 4CIL 115HP AUT (TIP),2015,TIPTRONIC,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,12.1,19.7,14.64,10.98,212.0,10.0,6,9
FORD,FOCUS,ST 4PTS 2.0L 4CIL 250HP MAN TURBO,2016,MAN,Gasolina,4,250.0,2.0,AUTOS COMPACTOS,12.1,18.3,14.28,10.71,218.0,10.0,6,9
FORD,FOCUS,ST 5PTAS 2.0L 4CIL 252HP MAN TURBO ECOBOOST,2017,MAN,Gasolina,4,252.0,2.0,AUTOS COMPACTOS,12.07,18.34,14.27,10.7,218.0,9.0,6,9
FORD,FOCUS,ST 4PTAS 2.0L 4CIL 252HP MAN,2018,MAN,Gasolina,4,252.0,2.0,AUTOS COMPACTOS,12.07,18.34,14.27,10.7,218.0,9.0,6,9
VW,BEETLE,GLS 2PTS 4CIL 115HP MAN,2011,M5,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,12.06,18.83,14.39,10.79,216.0,6.0,6,9
MERCEDES,B180,CGI 5PTS 1.6L 4CIL 121HP AUT TURBO,2014,AUT,Gasolina,4,121.0,1.6,AUTOS COMPACTOS,12.05,20.0,16.07,12.05,193.0,12.0,7,9
MERCEDES,A250,CGI 5PTS 2.0L 4CIL 208HP AUT TURBO,2013,AUT,Gasolina,4,208.0,2.0,AUTOS COMPACTOS,12.04,20.4,16.16,12.12,192.0,40.0,7,6
DODGE,DART,SXT 4PTS 2.4L 4CIL 184HP AUT,2014,AUT,Gasolina,4,184.0,2.4,AUTOS COMPACTOS,12.04,18.76,14.35,10.77,217.0,16.0,6,8
DODGE,DART,LIMITED 4PTS 2.4L 4CIL 184HP AUT,2014,AUT,Gasolina,4,184.0,2.4,AUTOS COMPACTOS,12.04,18.76,14.35,10.77,217.0,16.0,6,8
DODGE,DART,GT 4PTS 2.4L 4CIL 184HP AUT,2014,AUT,Gasolina,4,184.0,2.4,AUTOS COMPACTOS,12.04,18.76,14.35,10.77,217.0,16.0,6,8
DODGE,DART,GT 4PTAS 2.4L 4CIL 184HP AUT,2016,AUT,Gasolina,4,184.0,2.4,AUTOS COMPACTOS,12.04,18.76,14.35,10.77,217.0,11.0,6,9
MITSUBISHI,LANCER,EVOLUTION X 4PTS 2.0L 4CIL 291HP MAN TURBO,2014,MAN,Gasolina,4,291.0,2.0,AUTOS COMPACTOS,12.01,18.79,14.34,10.75,217.0,48.0,6,5
MAZDA,MAZDA3,SEDAN 4PTS 2.5L 4CIL 167HP AUT,2011,AUT,Gasolina,4,167.0,2.5,AUTOS COMPACTOS,12.0,17.2,13.89,10.42,224.0,9.0,6,9
MAZDA,MAZDA3,HATCHBACK 5PTS 2.5L 4CIL 167HP AUT,2011,AUT,Gasolina,4,167.0,2.5,AUTOS COMPACTOS,12.0,17.2,13.89,10.42,224.0,9.0,6,9
VW,JETTA,GP 4PTS 1.8L 4CIL 180HP MAN TURBO,2011,M5,Gasolina,4,180.0,1.8,AUTOS COMPACTOS,12.0,19.71,14.56,10.92,213.0,26.0,6,6
CHEVROLET,MALIBU,4PTS 2.0L 4CIL 260HP AUT TURBO,2016,AUT,Gasolina,4,260.0,2.0,AUTOS COMPACTOS,12.0,19.8,14.59,10.94,213.0,10.0,6,9
VW,JETTA,MKVI GLI 4PTS 2.0L 4CIL 200HP DSG TFSI TURBO,2013,DSG,Gasolina,4,200.0,2.0,AUTOS COMPACTOS,11.99,20.69,14.79,11.09,210.0,13.0,7,8
CHEVROLET,MALIBU,LT 4PTAS 2.0L 4CIL 260HP AUT TURBO,2017,AUT,Gasolina,4,260.0,2.0,AUTOS COMPACTOS,11.95,20.32,14.67,11.0,212.0,10.0,6,9
CHEVROLET,MALIBU,PREMIER 4PTAS 2.0L 4CIL 260HP AUT TURBO,2017,AUT,Gasolina,4,260.0,2.0,AUTOS COMPACTOS,11.95,20.32,14.67,11.0,212.0,10.0,6,9
VW,JETTA,MKVI GLI 4PTS 2.0L 4CIL 210HP DSG TFSI TURBO,2014,DSG,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,11.9,20.41,14.65,10.99,212.0,15.0,6,8
VW,BEETLE,2PTAS 2.0L 4CIL 210HP MAN TURBO,2016,MAN,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,11.9,18.3,14.12,10.59,220.0,21.0,6,7
VW,BEETLE,2PTAS 2.0L 4CIL 210HP MAN TURBO,2017,MAN,Gasolina,4,210.0,2.0,AUTOS COMPACTOS,11.9,18.3,14.12,10.59,220.0,21.0,6,7
HONDA,HR-V,EPIC 5PTAS 1.8L 4CIL 141HP CVT,2017,,Gasolina,4,141.0,1.8,AUTOS COMPACTOS,11.9,18.4,15.54,11.66,200.0,5.0,7,9
HONDA,HR-V,UNIQ 5PTAS 1.8L 4CIL 141HP CVT,2017,,Gasolina,4,141.0,1.8,AUTOS COMPACTOS,11.9,18.4,15.54,11.66,200.0,5.0,7,9
KIA,OPTIMA,4PTAS 2.0L 4CIL 245HP AUT,2017,AUT,Gasolina,4,245.0,2.0,AUTOS COMPACTOS,11.9,18.92,15.68,11.76,198.0,14.0,7,6
KIA,OPTIMA,4PTAS 2.0L 4CIL 245HP TURBO AUT,2018,AUT,Gasolina,4,245.0,2.0,AUTOS COMPACTOS,11.9,18.92,15.68,11.76,198.0,14.0,7,6
KIA,OPTIMA,4PTAS 2.0L 4CIL 245HP AUT TURBO,2016,AUT,Gasolina,4,245.0,2.0,AUTOS COMPACTOS,11.9,18.92,14.29,10.71,218.0,14.0,6,8
VW,CLASICO,GLI 4PTS 1.8L 4CIL 180HP MAN TURBO,2012,MAN,Gasolina,4,180.0,1.8,AUTOS COMPACTOS,11.87,19.71,14.46,10.84,215.0,17.0,6,8
VW,CLASICO,4PTS 1.8L 4CIL 180HP MAN TURBO,2013,MAN,Gasolina,4,180.0,1.8,AUTOS COMPACTOS,11.87,19.71,14.46,10.84,215.0,17.0,6,8
CHEVROLET,MALIBU,4PTS 2.4L 4CIL 170HP AUT,2011,AUT,Gasolina,4,170.0,2.4,AUTOS COMPACTOS,11.82,19.9,14.46,10.85,215.0,12.0,6,9
VW,JETTA,GP 4PTS 2.0L 4CIL 115HP TIP,2011,TIP,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,11.81,20.66,14.63,10.97,212.0,12.0,6,9
VW,CLASICO,4PTS 2.0L 4CIL 115HP TIP,2012,AUT,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,11.81,20.66,14.63,10.97,212.0,11.0,6,9
VW,CLASICO,GL 4PTS 2.0L 4CIL 115HP TIP,2013,TIP,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,11.81,20.66,14.63,10.97,212.0,11.0,6,9
VW,CLASICO,4PTS 2.0L 4CIL 115HP TIP,2014,TIP,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,11.81,20.66,14.63,10.97,212.0,11.0,6,9
CHEVROLET,CRUZE,4PTS 1.8L 4CIL 139HP AUT,2016,AUT,Gasolina,4,139.0,1.8,AUTOS COMPACTOS,11.8,20.06,14.49,10.87,215.0,17.0,6,8
FORD,FUSION,4PTS 2.5L 4CIL 175HP AUT,2011,AUT,Gasolina,4,175.0,2.5,AUTOS COMPACTOS,11.8,18.2,14.02,10.51,222.0,12.0,6,9
FORD,FUSION,4PTS 2.5L 4CIL 175HP AUT,2012,AUT,Gasolina,4,175.0,2.5,AUTOS COMPACTOS,11.8,18.2,14.02,10.51,222.0,12.0,6,9
MAZDA,MAZDA 2,HATCHBACK 5PTS 1.5L 4CIL 102HP MAN,2012,MAN,Gasolina,4,102.0,1.5,AUTOS COMPACTOS,11.8,17.9,15.33,11.5,203.0,10.0,7,9
MAZDA,MAZDA2,HATCHBACK 5PTS 1.5L 4CIL 102HP MAN,2013,MAN,Gasolina,4,102.0,1.5,AUTOS COMPACTOS,11.8,17.9,15.33,11.5,203.0,8.0,7,9
MAZDA,MAZDA2,HATCHBACK 5PTS 1.5L 4CIL 102HP MAN,2014,MAN,Gasolina,4,102.0,1.5,AUTOS COMPACTOS,11.8,17.9,15.33,11.5,203.0,8.0,7,9
VW,BEETLE,2PTS 2.0L 4CIL 200HP MAN TURBO,2012,MAN,Gasolina,4,200.0,2.0,AUTOS COMPACTOS,11.79,19.16,14.26,10.69,218.0,4.0,6,9
CHEVROLET,MALIBU,LS 4PTS 2.5L 4CIL 197HP AUT,2013,AUT,Gasolina,4,197.0,2.5,AUTOS COMPACTOS,11.72,19.14,14.2,10.65,219.0,3.0,6,9
FORD,FUSION,4PTS 2.0L 4CIL 240HP AUT TURBO,2014,AUT,Gasolina,4,240.0,2.0,AUTOS COMPACTOS,11.7,18.76,15.48,11.61,201.0,10.0,7,9
FORD,FUSION,4PTS 2.0L 4CIL 237HP AUT (6F35) TURBO,2015,AUT,Gasolina,4,237.0,2.0,AUTOS COMPACTOS,11.7,18.76,15.48,11.61,201.0,39.0,7,6
FORD,FUSION,4PTS 2.0L 4CIL 240HP AUT (6F35) TURBO,2016,AUT,Gasolina,4,240.0,2.0,AUTOS COMPACTOS,11.7,18.76,15.48,11.61,201.0,24.0,7,7
VW,JETTA,MKVI 4PTS 2.5L 5CIL 170HP AUT (TIP),2015,TIPTRONIC,Gasolina,5,170.0,2.5,AUTOS COMPACTOS,11.7,19.2,14.2,10.65,219.0,4.0,6,9
VW,JETTA,MKVI 4PTAS 2.5L 5CIL 170HP AUT,2016,TIPT,Gasolina,5,170.0,2.5,AUTOS COMPACTOS,11.7,19.2,14.2,10.65,219.0,4.0,6,9
VW,JETTA MKVI,MKVI 4PTAS 2.5L 5CIL 170HP AUT,2017,TIPT,Gasolina,5,170.0,2.5,AUTOS COMPACTOS,11.7,19.2,14.2,10.65,219.0,4.0,6,9
FORD,FUSION,4X2 4PTAS 2.0L 4CIL 240HP AUT TURBO ECOBOOST,2017,AUT,Gasolina,4,240.0,2.0,AUTOS COMPACTOS,11.67,18.68,14.04,10.53,221.0,24.0,6,7
FORD,FUSION,4PTAS 2.0L 4CIL 240HP AUT,2018,AUT,Gasolina,4,240.0,2.0,AUTOS COMPACTOS,11.67,18.68,14.04,10.53,221.0,24.0,6,7
VW,GOLF,SPORTWAGEN 5PTS 2.5L 5CIL 0170HP DSG,2013,DSG,Gasolina,5,170.0,2.5,AUTOS COMPACTOS,11.66,19.26,14.18,10.63,219.0,23.0,6,7
VW,JETTA,MKVI 4PTS 2.5L 5CIL 170HP TIP,2013,TIP,Gasolina,5,170.0,2.5,AUTOS COMPACTOS,11.66,19.26,14.18,10.63,219.0,23.0,6,7
VW,JETTA,MKVI 4PTS 2.5L 5CIL 170HP TIP,2014,TIP,Gasolina,5,170.0,2.5,AUTOS COMPACTOS,11.66,19.26,14.18,10.63,219.0,23.0,6,7
VW,JETTA,GP 4PTS 2.0L 4CIL 115HP MAN,2011,M5,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,11.63,21.69,14.7,11.02,212.0,12.0,6,9
CHEVROLET,MALIBU,4PTS 2.4L 4CIL 170HP AUT,2012,AUT,Gasolina,4,170.0,2.4,AUTOS COMPACTOS,11.62,19.9,14.3,10.72,217.0,12.0,6,9
VW,BEETLE,2PTS 2.5L 5CIL 170HP TIP,2013,TIP,Gasolina,5,170.0,2.5,AUTOS COMPACTOS,11.62,17.98,13.82,10.36,225.0,16.0,6,8
VW,BEETLE,2PTS 2.5L 5CIL 170HP TIP,2014,TIP,Gasolina,5,170.0,2.5,AUTOS COMPACTOS,11.62,17.98,13.82,10.36,225.0,16.0,6,8
MITSUBISHI,LANCER,GTS 4PTS 2.4L 4CIL 168HP CVT,2015,CVT,Gasolina,4,168.0,2.4,AUTOS COMPACTOS,11.62,16.94,14.93,11.19,208.0,37.0,7,6
VW,BEETLE,CABRIO 2PTS 2.5L 5CIL 150HP MAN,2011,M5,Gasolina,5,150.0,2.5,AUTOS COMPACTOS,11.61,19.22,14.13,10.6,220.0,5.0,6,9
VW,BEETLE,2PTS 2.5L 5CIL 150HP MAN,2011,M5,Gasolina,5,150.0,2.5,AUTOS COMPACTOS,11.61,19.22,14.12,10.59,220.0,5.0,6,9
MAZDA,MAZDA5,5PTS 2.3L 4CIL 153HP MAN,2011,M5,Gasolina,4,153.0,2.3,AUTOS COMPACTOS,11.6,16.7,13.45,10.09,231.0,5.0,6,9
VW,CLASICO,4PTS 2.0L 4CIL 115HP MAN,2012,MAN,Gasolina,4,115.0,2.0,AUTOS COMPACTOS,11.6,19.5,14.19,10.64,219.0,11.0,6,9
